Animal ID,Experiment,Trial,Box,Animal,Group,Component Name,Freeze Cnt,Time Freezing,Pct Total Time Freezing,Pct Component Time Freezing,Avg Motion Index,Min Motion Index,Max Motion Index,Genotype,Sex,Lifestyle,Diet,Weight,Age_Months
220808_15,VF083022_111037,Day1_Trial_8,Chamber1,,,White House Light,32,293,97.67,97.67,1.07,0,168,APOE22HN,male,Sedentary,HFD,47,20.4
220808_16,VF083022_111037,Day1_Trial_8,Chamber2,,,White House Light,29,296.533,98.84,98.84,0.26,0,51,APOE22HN,male,Sedentary,HFD,38,20.4
220808_17,VF083022_111942,Day1_Trial_9,Chamber1,,,White House Light,9,299.733,99.91,99.91,0.12,0,25,APOE22HN,male,Sedentary,HFD,46,20.4
220404_1,VF050322_095037,day1_trial1,Chamber1,,,White House Light,26,274.267,91.42,91.42,6.47,0,501,APOE22,female ,Sedentary,HFD,30,14.8
220404_2,VF050322_095037,day1_trial1,Chamber 2,,,White House Light,65,257.067,85.69,85.69,5.99,0,677,APOE22,female ,Sedentary,HFD,37,14.8
220404_3,VF050322_100007,day1_trial2,Chamber1,,,White House Light,28,289.767,96.59,96.59,0.92,0,82,APOE22,female ,Sedentary,HFD,40,14.8
220404_4,VF050322_100007,day1_trial2,Chamber 2,,,White House Light,41,251.8,83.93,83.93,8.78,0,494,APOE22,female ,Sedentary,HFD,39,14.8
220404_5,VF050322_100850,day1_trial3,Chamber1,,,White House Light,17,297.067,99.02,99.02,0.34,0,81,APOE22,female ,Sedentary,HFD,29,12.26666667
220404_6,VF050322_100850,day1_trial3,Chamber 2,,,White House Light,26,292.967,97.66,97.66,0.91,0,311,APOE22,male,Sedentary,HFD,43,14.8
220404_7,VF050322_101641,day1_trial4,Chamber1,,,White House Light,12,295.667,98.56,98.56,0.65,0,170,APOE22,male,Sedentary,HFD,51,14.8
220404_8,VF050322_101641,day1_trial4,Chamber 2,,,White House Light,32,274.667,91.56,91.56,3.1,0,277,APOE22,male,Sedentary,HFD,41,14.4
220404_9,VF050322_102458,day1_trial5,Chamber1,,,White House Light,95,236,78.67,78.67,11.15,0,2059,APOE22,male,Sedentary,HFD,39,14.4
220404_10,VF050322_102458,day1_trial5,Chamber 2,,,White House Light,66,248.967,82.99,82.99,7.59,0,575,APOE22,male,Sedentary,HFD,48,14.4
220404_11,VF050322_103253,day1_trial6,Chamber1,,,White House Light,11,291.967,97.32,97.32,1.18,0,225,APOE22HN,male,Sedentary,Control,32,21.23333333
220404_12,VF050322_103253,day1_trial6,Chamber 2,,,White House Light,46,277.6,92.53,92.53,2.77,0,273,APOE22HN,male,Sedentary,Control,,18.8
220404_13,VF050322_104053,day1_trial7,Chamber1,,,White House Light,52,263.567,87.86,87.86,7.65,0,428,APOE22HN,male,Sedentary,Control,35,21.23333333
220307_1,VF040522_095110,day1_trial1,Chamber1,,,White House Light,43,283.267,94.42,94.42,1.9,0,195,APOE33HN,female ,Sedentary,Control,32,20.83
220307_2,VF040522_095110,day1_trial1,Chamber 2,,,White House Light,90,271.867,90.62,90.62,2.29,0,108,APOE33HN,female ,Sedentary,Control,26,20.83
220307_4,VF040522_100606,day1_trial2,Chamber1,,,White House Light,17,290.033,96.68,96.68,1.82,0,311,APOE33HN,female ,Sedentary,Control,26,20.83
220307_5,VF040522_100606,day1_trial2,Chamber 2,,,White House Light,128,242.267,80.76,80.76,4.78,0,176,APOE33HN,female ,Sedentary,Control,25,20.83
220307_6,VF040522_101439,day1_trial3,Chamber1,,,White House Light,4,299.467,99.82,99.82,0.06,0,36,APOE22HN,male,Sedentary,Control,29,19.43
220307_7,VF040522_101439,day1_trial3,Chamber 2,,,White House Light,47,281.367,93.79,93.79,1.6,0,144,APOE22HN,male,Sedentary,Control,31,19.43
220307_8,VF040522_102256,day1_trial4,Chamber1,,,White House Light,23,296.667,98.89,98.89,0.72,0,100,APOE22HN,male,Sedentary,Control,30,19.43
220307_9,VF040522_102256,day1_trial4,Chamber 2,,,White House Light,98,248,82.67,82.67,3.95,0,184,APOE22HN,female ,Sedentary,Control,27,19.43
220307_10,VF040522_103124,day1_trial5,Chamber1,,,White House Light,4,299.9,99.97,99.97,0.04,0,20,APOE22HN,female ,Sedentary,Control,26,19.47
220307_11,VF040522_103124,day1_trial5,Chamber 2,,,White House Light,58,276.9,92.3,92.3,2.2,0,270,APOE22HN,female ,Sedentary,Control,21,19.47
220307_12,VF040522_103959,day1_trial6,Chamber1,,,White House Light,25,287.8,95.93,95.93,1.93,0,293,APOE22HN,female ,Sedentary,Control,26,19.47
