Animal ID,Experiment,Trial,Box,Animal,Group,Component Name,Freeze Cnt,Time Freezing,Pct Total Time Freezing,Pct Component Time Freezing,Avg Motion Index,Min Motion Index,Max Motion Index,Genotype,Sex,Lifestyle,Diet,Weight,Age_Months
220509_1,VF060822_113026,day2_Trial 1,Chamber1,220509_1,,Day2_Acclimation,21,20.967,4.66,11.65,141.4,0,1333,APOE22,male,Sedentary,HFD,40,20.23333333
220509_1,VF060822_113026,day2_Trial 1,Chamber1,220509_1,,Day2_CSTone,73,82.133,18.25,22.81,79.59,0,916,APOE22,male,Sedentary,HFD,40,20.23333333
220509_1,VF060822_113026,day2_Trial 1,Chamber1,220509_1,,Day2_Exploration,25,29.333,6.52,6.52,88.7,0,916,APOE22,male,Sedentary,HFD,40,20.23333333
220509_4,VF060822_113026,day2_Trial 1,Chamber 2,,,Day2_Acclimation,21,14.133,3.14,7.85,137.91,0,1158,APOE22,female,Sedentary,HFD,27,20.23333333
220509_4,VF060822_113026,day2_Trial 1,Chamber 2,,,Day2_CSTone,55,78.7,17.49,21.86,93.41,0,1451,APOE22,female,Sedentary,HFD,27,20.23333333
220509_4,VF060822_113026,day2_Trial 1,Chamber 2,,,Day2_Exploration,18,35.933,7.99,7.99,77.54,0,686,APOE22,female,Sedentary,HFD,27,20.23333333
220509_6,VF060822_114714,day2_Trial 2,Chamber1,,,Day2_Acclimation,26,52.867,11.75,29.37,112.79,0,1062,APOE22,female,Sedentary,HFD,42,20.23333333
220509_6,VF060822_114714,day2_Trial 2,Chamber1,,,Day2_CSTone,51,99.3,22.07,27.58,85.04,0,1421,APOE22,female,Sedentary,HFD,42,20.23333333
220509_6,VF060822_114714,day2_Trial 2,Chamber1,,,Day2_Exploration,19,23.967,5.33,5.33,87,0,1014,APOE22,female,Sedentary,HFD,42,20.23333333
220509_7,VF060822_114714,day2_Trial 2,Chamber 2,,,Day2_Acclimation,33,52.033,11.56,28.91,97.51,0,1050,APOE33,male,Sedentary,HFD,52,21.46666667
220509_7,VF060822_114714,day2_Trial 2,Chamber 2,,,Day2_CSTone,55,153.767,34.17,42.71,37.95,0,829,APOE33,male,Sedentary,HFD,52,21.46666667
220509_7,VF060822_114714,day2_Trial 2,Chamber 2,,,Day2_Exploration,22,33.6,7.47,7.47,59.77,0,829,APOE33,male,Sedentary,HFD,52,21.46666667
220509_8,VF060822_115924,day2_Trial 3,Chamber1,,,Day2_Acclimation,24,29.133,6.47,16.19,130.69,0,803,APOE33,female,Sedentary,HFD,34,20.36666667
220509_8,VF060822_115924,day2_Trial 3,Chamber1,,,Day2_CSTone,49,144.467,32.1,40.13,40.84,0,782,APOE33,female,Sedentary,HFD,34,20.36666667
220509_8,VF060822_115924,day2_Trial 3,Chamber1,,,Day2_Exploration,13,35.833,7.96,7.96,59.75,0,619,APOE33,female,Sedentary,HFD,34,20.36666667
220509_10,VF060822_115924,day2_Trial 3,Chamber 2,,,Day2_Acclimation,8,4.6,1.02,2.56,233.7,0,1550,APOE33,female,Sedentary,HFD,28,20.36666667
220509_10,VF060822_115924,day2_Trial 3,Chamber 2,,,Day2_CSTone,52,106.967,23.77,29.71,60.9,0,951,APOE33,female,Sedentary,HFD,28,20.36666667
220509_10,VF060822_115924,day2_Trial 3,Chamber 2,,,Day2_Exploration,11,6.533,1.45,1.45,113.05,0,951,APOE33,female,Sedentary,HFD,28,20.36666667
220509_11,VF060822_121138,day2_Trial 4,Chamber1,,,Day2_Acclimation,54,42.3,9.4,23.5,85.35,0,788,APOE44,female,Sedentary,Control,29,19.53333333
220509_11,VF060822_121138,day2_Trial 4,Chamber1,,,Day2_CSTone,73,127.767,28.39,35.49,50.25,0,1010,APOE44,female,Sedentary,Control,29,19.53333333
220509_11,VF060822_121138,day2_Trial 4,Chamber1,,,Day2_Exploration,22,18.8,4.18,4.18,81.11,0,1010,APOE44,female,Sedentary,Control,29,19.53333333
220509_12,VF060822_121138,day2_Trial 4,Chamber 2,,,Day2_Acclimation,11,8.933,1.99,4.96,181.5,0,1382,APOE22,female,Sedentary,Control,25,13.4
220509_12,VF060822_121138,day2_Trial 4,Chamber 2,,,Day2_CSTone,90,113.267,25.17,31.46,66.68,0,1323,APOE22,female,Sedentary,Control,25,13.4
220509_12,VF060822_121138,day2_Trial 4,Chamber 2,,,Day2_Exploration,13,15.567,3.46,3.46,113.86,0,1323,APOE22,female,Sedentary,Control,25,13.4
220509_13,VF060822_122407,day0_Trial 5,Chamber1,,,Day2_Acclimation,13,10.367,2.3,5.76,203.73,0,1586,APOE22,female,Sedentary,Control,26,13.16666667
220509_13,VF060822_122407,day0_Trial 5,Chamber1,,,Day2_CSTone,63,142.7,31.71,39.64,68.33,0,3789,APOE22,female,Sedentary,Control,26,13.16666667
220509_13,VF060822_122407,day0_Trial 5,Chamber1,,,Day2_Exploration,25,33.967,7.55,7.55,62.19,0,1046,APOE22,female,Sedentary,Control,26,13.16666667
220509_14,VF060822_122407,day0_Trial 5,Chamber 2,,,Day2_Acclimation,22,33.233,7.39,18.46,133.89,0,1427,APOE22,female,Sedentary,Control,26,13.16666667
220509_14,VF060822_122407,day0_Trial 5,Chamber 2,,,Day2_CSTone,73,175.5,39,48.75,34.3,0,1006,APOE22,female,Sedentary,Control,26,13.16666667
220509_14,VF060822_122407,day0_Trial 5,Chamber 2,,,Day2_Exploration,24,31,6.89,6.89,60.74,0,870,APOE22,female,Sedentary,Control,26,13.16666667
220606_1,VF070722_114806,day2_trial1,Chamber1,,,Day2_Acclimation,49,44,9.78,24.44,76.41,0,1132,APOE33HN,male,Sedentary,Control,33,19.4
220606_1,VF070722_114806,day2_trial1,Chamber1,,,Day2_CSTone,76,83.267,18.5,23.13,84.6,0,969,APOE33HN,male,Sedentary,Control,33,19.4
220606_1,VF070722_114806,day2_trial1,Chamber1,,,Day2_Exploration,30,35.7,7.93,7.93,103.55,0,969,APOE33HN,male,Sedentary,Control,33,19.4
220606_2,VF070722_114806,day2_trial1,Chamber2,,,Day2_Acclimation,83,74.067,16.46,41.15,39.09,0,636,APOE44HN,female,Sedentary,Control,30,20.6333333333333
220606_2,VF070722_114806,day2_trial1,Chamber2,,,Day2_CSTone,69,80.167,17.81,22.27,64.1,0,806,APOE44HN,female,Sedentary,Control,30,20.6333333333333
220606_2,VF070722_114806,day2_trial1,Chamber2,,,Day2_Exploration,13,11.867,2.64,2.64,113.16,0,806,APOE44HN,female,Sedentary,Control,30,20.6333333333333
220606_3,VF070722_115722,day2_trial2,Chamber1,,,Day2_Acclimation,28,46.8,10.4,26,84.95,0,1214,APOE44HN,female,Sedentary,Control,32,20.6333333333333
220606_3,VF070722_115722,day2_trial2,Chamber1,,,Day2_CSTone,60,89.467,19.88,24.85,65.17,0,1206,APOE44HN,female,Sedentary,Control,32,20.6333333333333
220606_3,VF070722_115722,day2_trial2,Chamber1,,,Day2_Exploration,23,30.7,6.82,6.82,55.5,0,1028,APOE44HN,female,Sedentary,Control,32,20.6333333333333
220606_4,VF070722_115722,day2_trial2,Chamber2,,,Day2_Acclimation,9,4.5,1,2.5,206.6,0,1495,APOE44HN,female,Sedentary,Control,28,20.6333333333333
220606_4,VF070722_115722,day2_trial2,Chamber2,,,Day2_CSTone,60,45.7,10.16,12.69,101.21,0,1390,APOE44HN,female,Sedentary,Control,28,20.6333333333333
220606_4,VF070722_115722,day2_trial2,Chamber2,,,Day2_Exploration,13,8.467,1.88,1.88,135.58,0,1390,APOE44HN,female,Sedentary,Control,28,20.6333333333333
220606_5,VF070722_120810,day2_trial3,Chamber1,,,Day2_Acclimation,6,4.633,1.03,2.57,170.32,0,1337,APOE44HN,female,Sedentary,Control,32,20.6
220606_5,VF070722_120810,day2_trial3,Chamber1,,,Day2_CSTone,50,44.267,9.84,12.3,79.28,0,1068,APOE44HN,female,Sedentary,Control,32,20.6
220606_5,VF070722_120810,day2_trial3,Chamber1,,,Day2_Exploration,21,21.533,4.79,4.79,74.82,0,766,APOE44HN,female,Sedentary,Control,32,20.6
220606_6,VF070722_120810,day2_trial3,Chamber2,,,Day2_Acclimation,21,17.167,3.81,9.54,149.77,0,1257,APOE44HN,female,Sedentary,Control,26,20.6
220606_6,VF070722_120810,day2_trial3,Chamber2,,,Day2_CSTone,75,93.133,20.7,25.87,67.83,0,1426,APOE44HN,female,Sedentary,Control,26,20.6
220606_6,VF070722_120810,day2_trial3,Chamber2,,,Day2_Exploration,31,36.9,8.2,8.2,46.53,0,896,APOE44HN,female,Sedentary,Control,26,20.6
220606_7,VF070722_121855,day2_trial4,Chamber1,,,Day2_Acclimation,19,15.733,3.5,8.74,138.96,0,1285,APOE44,male,Sedentary,HFD,40,20.6
