Animal ID,PHENO_learning,Sex,Genotype,Diet,Lifestyle,Age_Months
230313_7,21.165,female,APOE22,Control,Exercise,17.8666666666667
230313_8,31.665,female,APOE22,Control,Exercise,17.8666666666667
230605_1,6.17,female,APOE44HN,HFD,Sedentary,20.2333333333333
230605_2,3.5,female,APOE44HN,HFD,Sedentary,19.4
230605_3,23.11,female,APOE44HN,HFD,Sedentary,19.4
230605_4,17.89,female,APOE44HN,HFD,Sedentary,19.1666666666667
230605_5,40.225,female,APOE44HN,HFD,Sedentary,19.1666666666667
230605_6,15.39,male,APOE44HN,HFD,Sedentary,19.4
230605_7,19.725,male,APOE44HN,HFD,Sedentary,19.4
230605_8,24.719999999999995,male,APOE33,HFD,Sedentary,19.4333333333333
230605_10,5.615000000000002,male,APOE33,HFD,Sedentary,14.6333333333333
230605_11,38.115,male,APOE33,HFD,Sedentary,19.5666666666667
230605_12,41.89,male,APOE33,HFD,Sedentary,19.5666666666667
230605_13,39.39,male,APOE33,HFD,Sedentary,19.5666666666667
230605_14,42.5,male,APOE33,HFD,Sedentary,19.5666666666667
230605_15,23.5,female,APOE33HN,Control,Exercise,14.6
230605_16,31.385,female,APOE33HN,Control,Exercise,14.6
230605_17,35.0,female,APOE22HN,Control,Sedentary,15.0333333333333
230605_18,46.165,female,APOE22HN,Control,Sedentary,15.0333333333333
230605_19,22.555,female,APOE22HN,Control,Sedentary,15.0333333333333
230605_20,19.335,female,APOE22HN,Control,Exercise,14.7333333333333
230605_21,37.67,female,APOE22HN,Control,Exercise,14.7333333333333
230605_22,15.670000000000002,male,APOE33,Control,Exercise,14.7666666666667
230605_23,16.615000000000002,male,APOE33,Control,Exercise,14.7666666666667
230605_24,39.885,male,APOE33,Control,Exercise,14.7666666666667
230605_25,37.445,male,APOE33,Control,Exercise,14.7666666666667
230213_1,37.945,male,APOE22,Control,Sedentary,19.6333333333333
230213_2,12.72,male,APOE22,Control,Sedentary,19.6333333333333
230213_3,34.5,male,APOE22,Control,Sedentary,19.6333333333333
230213_4,26.72,male,APOE22,Control,Sedentary,19.6333333333333
230213_5,31.72,male,APOE22,Control,Sedentary,19.6333333333333
230213_6,6.89,male,APOE44,Control,Sedentary,19.5333333333333
230213_7,30.445,male,APOE44,Control,Sedentary,19.5666666666667
230213_8,12.499999999999998,male,APOE44,Control,Sedentary,19.5666666666667
