Animal ID,PHENO_context_memory,Sex,Genotype,Diet,Lifestyle,Age_Months
230508_17,94.18,male,APOE44HN,Control,Sedentary,19.0666666666667
230508_18,98.13,male,APOE44HN,Control,Sedentary,19.0666666666667
230508_19,99.32,male,APOE44HN,Control,Sedentary,18.2333333333333
230410_1,95.93,male,APOE22,HFD,Sedentary,19.7666666666667
230410_2,97.46,male,APOE33,HFD,Sedentary,19.4
230410_3,99.18,female,APOE33,HFD,Sedentary,19.4
230410_4,97.52,female,APOE33,HFD,Sedentary,19.4
230410_5,84.03,female,APOE33,HFD,Sedentary,18.2666666666667
230410_6,97.76,female,APOE33,HFD,Sedentary,18.2666666666667
230410_7,98.13,female,APOE33,HFD,Sedentary,18.2666666666667
230410_8,97.37,male,APOE22HN,HFD,Sedentary,21.3333333333333
230410_9,98.28,female,APOE22HN,HFD,Sedentary,19.7
230410_10,98.67,male,APOE33HN,HFD,Sedentary,22.0
230410_11,99.82,male,APOE33HN,HFD,Sedentary,22.0
230410_12,99.06,male,APOE33HN,HFD,Sedentary,22.0
230410_13,98.08,male,APOE33HN,HFD,Sedentary,22.0
230410_15,95.64,female,KO,Control,Sedentary,19.3666666666667
230410_17,96.2,female,KO,Control,Sedentary,19.3666666666667
230410_18,96.79,female,KO,Control,Sedentary,19.3666666666667
230410_19,100.0,male,KO,Control,Sedentary,19.3666666666667
230410_20,98.68,male,KO,Control,Sedentary,19.3666666666667
230313_1,99.88,male,APOE22,Control,Exercise,17.6666666666667
230313_2,85.48,male,APOE22,Control,Exercise,17.6666666666667
230313_3,92.12,male,APOE22,Control,Exercise,17.6666666666667
230313_4,83.76,female,APOE22,Control,Exercise,17.6666666666667
230313_5,99.98,female,APOE22,Control,Exercise,17.6666666666667
230313_6,79.38,female,APOE22,Control,Exercise,17.6666666666667
230313_7,98.94,female,APOE22,Control,Exercise,17.8666666666667
230313_8,76.92,female,APOE22,Control,Exercise,17.8666666666667
230605_1,95.61,female,APOE44HN,HFD,Sedentary,20.2333333333333
230605_2,96.74,female,APOE44HN,HFD,Sedentary,19.4
230605_3,99.73,female,APOE44HN,HFD,Sedentary,19.4
230605_4,98.34,female,APOE44HN,HFD,Sedentary,19.1666666666667
230605_5,97.92,female,APOE44HN,HFD,Sedentary,19.1666666666667
230605_6,99.17,male,APOE44HN,HFD,Sedentary,19.4
230605_7,99.43,male,APOE44HN,HFD,Sedentary,19.4
230605_8,69.87,male,APOE33,HFD,Sedentary,19.4333333333333
230605_10,98.6,male,APOE33,HFD,Sedentary,14.6333333333333
230605_11,97.59,male,APOE33,HFD,Sedentary,19.5666666666667
230605_12,99.72,male,APOE33,HFD,Sedentary,19.5666666666667
230605_13,96.24,male,APOE33,HFD,Sedentary,19.5666666666667
230605_14,99.73,male,APOE33,HFD,Sedentary,19.5666666666667
230605_15,98.88,female,APOE33HN,Control,Exercise,14.6
230605_16,95.14,female,APOE33HN,Control,Exercise,14.6
230605_17,97.99,female,APOE22HN,Control,Sedentary,15.0333333333333
230605_18,85.97,female,APOE22HN,Control,Sedentary,15.0333333333333
230605_19,97.0,female,APOE22HN,Control,Sedentary,15.0333333333333
230605_20,98.33,female,APOE22HN,Control,Exercise,14.7333333333333
230605_21,93.33,female,APOE22HN,Control,Exercise,14.7333333333333
230605_22,97.67,male,APOE33,Control,Exercise,14.7666666666667
230605_23,97.68,male,APOE33,Control,Exercise,14.7666666666667
230605_24,91.89,male,APOE33,Control,Exercise,14.7666666666667
230605_25,99.42,male,APOE33,Control,Exercise,14.7666666666667
230213_1,94.74,male,APOE22,Control,Sedentary,19.6333333333333
230213_2,77.11,male,APOE22,Control,Sedentary,19.6333333333333
230213_3,92.7,male,APOE22,Control,Sedentary,19.6333333333333
230213_4,86.79,male,APOE22,Control,Sedentary,19.6333333333333
230213_5,86.53,male,APOE22,Control,Sedentary,19.6333333333333
230213_6,90.2,male,APOE44,Control,Sedentary,19.5333333333333
230213_7,85.04,male,APOE44,Control,Sedentary,19.5666666666667
230213_8,93.33,male,APOE44,Control,Sedentary,19.5666666666667
